time,open,high,low,close
2020-07-16T20:30:00Z,338.3,338.83,335.1,337.46
2020-07-19T20:30:00Z,337.46,337.86,333.13,337.3
2020-07-20T20:30:00Z,337.3,345.15,336.95,343.2
2020-07-21T20:30:00Z,343.2,344.01,339.44,343.67
2020-07-22T20:30:00Z,343.67,346.32,341.04,341.66
2020-07-23T20:30:00Z,341.66,343.09,339.41,342.01
2020-07-26T20:30:00Z,342.01,344.26,339.03,342.56
2020-07-27T20:30:00Z,342.56,345.15,340.36,341.36
2020-07-28T20:30:00Z,341.37,343.99,341,343.38
2020-07-29T20:30:00Z,343.38,343.81,332.1,337.76
2020-07-30T20:30:00Z,337.76,341.14,337.43,339.82
2020-08-02T20:30:00Z,339.82,345.64,337.37,344.71
2020-08-03T20:30:00Z,344.71,348.05,340.66,346.67
2020-08-04T20:30:00Z,346.67,355.53,346.2,350.3
2020-08-05T20:30:00Z,350.3,352.92,348.09,349.28
2020-08-06T20:30:00Z,349.77,350.97,344.29,345.15
2020-08-09T20:30:00Z,345.69,350.22,345.69,348.77
2020-08-10T20:30:00Z,349.3,352.13,346.82,347.09
2020-08-11T20:30:00Z,347.65,352.6,345.84,351.82
2020-08-12T20:30:00Z,352.4,353.1,351.02,352.05
2020-08-13T20:30:00Z,352.05,353.52,350.16,352.17
2020-08-16T20:30:00Z,352.17,357.34,352.17,357.21
2020-08-17T20:30:00Z,357.21,358.8,355.4,358.23
2020-08-18T20:30:00Z,358.23,358.77,356.23,358.53
2020-08-19T20:30:00Z,358.53,358.53,352.05,356.31
2020-08-20T20:30:00Z,356.31,357.75,349.96,353.36
2020-08-23T20:30:00Z,353.36,357.53,353.1,356.18
2020-08-24T20:30:00Z,356.18,360.65,355.82,360.04
2020-08-25T20:30:00Z,360.04,361.5,358.67,359.87
2020-08-26T20:30:00Z,359.83,360.78,355.86,358.83
2020-08-27T20:30:00Z,358.83,361.18,358.04,359.95
2020-08-30T20:30:00Z,359.95,363.13,357.97,358.21
2020-08-31T20:30:00Z,358.21,362.61,358.2,359.76
2020-09-01T20:30:00Z,359.74,361.51,352.95,353.72
2020-09-02T20:30:00Z,353.72,354.56,347.13,350.86
2020-09-03T20:30:00Z,350.86,354.37,345.45,347.11
2020-09-07T20:30:00Z,347.97,347.97,332.69,335.58
2020-09-08T20:30:00Z,336.59,342.46,334.66,341.06
2020-09-09T20:30:00Z,342.01,343.27,338.99,339.76
2020-09-10T20:30:00Z,340.56,343.15,338.21,341.05
2020-09-13T20:30:00Z,342.06,344.22,341.04,342.49
2020-09-14T20:30:00Z,342.49,346,341.7,345.14
2020-09-15T20:30:00Z,345.14,352.34,344.95,351.99
2020-09-16T20:30:00Z,351.94,357,347.98,356.23
2020-09-17T20:30:00Z,356.23,359.11,354.1,358.03
2020-09-20T20:30:00Z,358.03,358.53,345.24,347.36
2020-09-21T20:30:00Z,347.36,351.09,345.85,347.96
2020-09-22T20:30:00Z,347.9,350.97,344.37,347.73
2020-09-23T20:30:00Z,347.73,348.89,344.45,348.47
2020-09-24T20:30:00Z,348.41,350.54,346.23,348.23
2020-09-27T20:30:00Z,348.23,351.18,346.58,350.56
2020-09-28T20:30:00Z,350.56,351.38,341.64,344.88
2020-09-29T20:30:00Z,344.88,350.72,341.17,350.18
2020-09-30T20:30:00Z,350.18,352.15,339.26,343.47
2020-10-01T20:30:00Z,343.4,343.4,334.42,337.48
2020-10-04T20:30:00Z,337.48,349.51,337.48,347.38
2020-10-05T20:30:00Z,347.38,355.95,346.98,353.74
2020-10-06T20:30:00Z,354.49,354.49,349.92,353.48
2020-10-07T20:30:00Z,354.22,360.04,353.67,359.08
2020-10-08T20:30:00Z,359.77,363.67,359.4,360.58
2020-10-11T20:30:00Z,361.25,361.45,354.94,355.79
2020-10-12T20:30:00Z,356.4,360.22,355.88,358.41
2020-10-13T20:30:00Z,358.41,362.41,356.42,362.2
2020-10-14T20:30:00Z,362.2,363.36,354.91,363.22
2020-10-15T20:30:00Z,363.25,363.99,360.21,362.61
2020-10-18T20:30:00Z,362.61,364.34,361.46,362.14
2020-10-19T20:30:00Z,362.14,365.43,359.93,364.79
2020-10-20T20:30:00Z,364.79,365.24,359.33,360.11
2020-10-21T20:30:00Z,360.11,363.83,358.29,361.48
2020-10-22T20:30:00Z,361.48,362.68,357.59,358.77
2020-10-25T20:30:00Z,358.77,358.77,351.55,353.14
2020-10-26T20:30:00Z,353.14,358.5,353.04,357.26
2020-10-27T20:30:00Z,357.26,357.26,345.29,346.56
2020-10-28T20:30:00Z,346.55,348.26,335.02,341.16
2020-10-29T20:30:00Z,341.16,343.42,337.76,340.78
2020-11-01T21:30:00Z,340.78,345.7,333.11,345
2020-11-02T21:30:00Z,345,351.69,344.36,348.47
2020-11-03T21:30:00Z,348.47,355.22,344.88,354.79
2020-11-04T21:30:00Z,354.79,358.94,351.9,354.9
2020-11-05T21:30:00Z,355.55,355.55,349.3,349.62
2020-11-08T21:30:00Z,350.36,366.4,350.36,361.29
2020-11-09T21:30:00Z,362.02,369.64,359.65,369.64
2020-11-10T21:30:00Z,369.64,376.95,369.18,370.41
2020-11-11T21:30:00Z,370.4,372.84,367.51,367.87
2020-11-12T21:30:00Z,368.35,368.35,364.03,364.52
2020-11-15T21:30:00Z,364.5,372.09,364.5,369.1
2020-11-16T21:30:00Z,369.03,370.93,366.22,370.1
2020-11-17T21:30:00Z,369.95,375.09,368.66,372.92
2020-11-18T21:30:00Z,372.68,372.68,368.85,370.64
2020-11-19T21:30:00Z,370.19,374.14,369.73,373.85
2020-11-22T21:30:00Z,373.87,379.08,373.87,377.51
2020-11-23T21:30:00Z,377.49,386.09,377.14,385.48
2020-11-24T21:30:00Z,385.7,389.46,385.41,387.24
2020-11-26T21:30:00Z,387.57,388.73,384.03,388.14
2020-11-29T21:30:00Z,388.06,389.19,383.63,386.15
2020-11-30T21:30:00Z,385.59,388.43,382.08,383.64
